period_key,period_text,bs_year,bs_month,period_order,fiscal_year,fiscal_year_start,fiscal_month,fiscal_quarter,bfi_code,sector,full_name,total_deposit,current_deposit,saving_deposit,fixed_deposit,call_deposit,deposit_others,total_loan,loan_to_customers,loan_to_bfis,nba_mn,investment_govt_sec_mn,investment_shares_other_mn,cash_balance_mn,bank_balance_mn,money_at_call_mn,liquid_assets_mn,capital,general_reserve,llp_fund,debenture,nii_mn,commission_income_mn,llp_exp_mn,hr_exp_excl_bonus_mn,opex_mn,loan_writeoff_mn,net_profit_mn,other_operating_income_mn,savings_deposit_ratio,loan_to_deposit_ratio,liquidity_ratio,source_file
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,NBL,Commercial Bank,Nepal Bank Limited,375.63605718193116,,,,29.45988064814999,346.1761765337812,251.22424280904914,243.07658567048915,8.147657138560001,229.22785025,15471.51547300238,15471.51547300238,7213.8972818636,63950.632322199,1000.0,87636.04507706498,14.69402292799,8.811426861443397,14.37291629277964,3.4960540128415856,5535.741548253687,787.23162322,1126.3700948796431,2704.6979582389827,885.260514937612,0.0,1186.81923403653,458.73126270989815,,0.6687969325782113,0.23330040714014938,2082-11_Mid_Mar_2026.xlsx
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,RBB,Commercial Bank,Rastriya Banijya Bank,583.3178516367449,,,,43.61019648808992,539.7076551486549,333.0542885404456,321.9094158090356,11.14487273141,288.76877558,7771.929153287107,7771.929153287107,6836.240097811699,35382.51951438529,17269.754999999997,67260.44376548409,15.637377054,12.876722690520001,15.075769008829665,5.0,7526.74278595105,261.29118337,1309.967662325168,3290.2812123148947,1135.017125359082,0.0,2339.07639240607,1173.4211132042,,0.5709653623764831,0.11530667812883913,2082-11_Mid_Mar_2026.xlsx
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,NABIL,Commercial Bank,Nabil Bank Limited,584.7348473120412,,,,52.65280740461459,532.0820399074265,462.49879802234494,445.4362443632549,17.062553659089996,3388.99537004,47767.492955580004,47767.492955580004,6069.616789170002,27959.840554560164,0.0,81796.95029931018,32.05699672852,17.298953941883756,21.832797341012395,12.207108,10656.484575895005,2800.8943808100003,-37.97096695952564,2722.665375194062,1653.216081291132,105.95883773999999,6074.128279820696,368.49327431,,0.7909547381148886,0.13988725090581028,2082-11_Mid_Mar_2026.xlsx
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,NIMB,Commercial Bank,Nepal Investment Mega Bank Limited,527.0878287900886,,,,55.685344631655795,471.40248415843274,361.1924829104458,345.57832102063577,15.614161889810003,3879.45132889,65373.42105525078,65373.42105525078,6379.562633889998,28627.935380270002,800.0,101180.91906941078,34.12859489652,13.573161257392893,28.281126000169934,10.04,8617.929670739999,1230.32392286,2878.707592980004,2138.75728019,1694.97514739,64.30730016,2880.8583381813987,677.31810054,,0.6852605262002546,0.19196216179316453,2082-11_Mid_Mar_2026.xlsx
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,SCBNL,Commercial Bank,Standard Chartered Bank Nepal Limited,140.17717869754503,,,,11.757627762220002,128.41955093532502,79.68577007005518,75.93077007005517,3.755,0.0,14543.525319189353,14543.525319189353,693.3061319700001,7557.005096619996,18786.724,41580.56054777934,10.04236839766,7.1858249772,2.0984792831452257,2.4,2606.2721658898754,1184.5350910399998,8.390155526805643,695.4799144296298,540.15630034,10.94009353,1808.2592635268825,63.79612928,,0.5684646446051689,0.2966286019887455,2082-11_Mid_Mar_2026.xlsx
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,HBL,Commercial Bank,Himalayan Bank Limited,338.1530104088987,,,,31.495579000499994,306.65743140839874,256.46556457583,245.67353873339,10.792025842440001,6089.717272180001,28853.689907842163,28853.689907842163,3618.299430279999,32666.986089189995,0.0,65138.97542731216,22.5816625317,7.215396180199999,23.859217570463773,8.050608362350001,6015.780895909998,616.7189957399999,1803.3577994137888,2101.1853045899998,1393.9469854300003,63.70487080000001,1322.5672922542085,125.87685916,,0.758430523110555,0.1926316591076487,2082-11_Mid_Mar_2026.xlsx
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,NSBI,Commercial Bank,Nepal SBI Bank Limited,216.875452496502,,,,17.745578572470002,199.129873924032,151.22215352712806,144.96221950703804,6.25993402009,1032.1846449099999,21512.271946,21512.271946,849.0318564300001,9570.375108399998,5960.37,37892.048910829995,11.335124390719999,4.542687444336691,6.127891402289865,8.84085455011,3368.697925460314,993.8035449279016,558.404386593236,1121.1414140949612,714.8680638599999,0.0,1385.0426924900232,111.92017225,,0.6972764865104645,0.17471801660651826,2082-11_Mid_Mar_2026.xlsx
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,EBL,Commercial Bank,Everest Bank Limited,304.12896566651,,,,27.864442755700008,276.26452291080994,249.37307382234,238.44632227537002,10.92675154697,513.93741068,13352.12035277,13352.12035277,2569.48936722,27255.135021932,0.0,43176.744741922004,13.721375924079998,7.71696809189,3.859029021996699,6.603613,6015.994890465066,1393.9741449900002,562.7521375083097,1442.6647356566664,1059.83663943,0.0,2907.9314075228817,28.171016189999996,,0.8199583136575945,0.1419685384037609,2082-11_Mid_Mar_2026.xlsx
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,NIC,Commercial Bank,NIC ASIA Bank Limited,319.38052848942004,,,,24.56408634767,294.81644214175003,217.19089365485178,211.83191747387175,5.358976180979999,4170.65677733,9300.80602239,9300.80602239,6041.23988361,16634.4822271,0.0,31976.5281331,14.917566922,5.66298828424,16.270407479692928,10.922258,5557.771103974099,1074.2470984699999,2433.071500774329,2000.2368095600002,1505.7321344619352,357.63492024,308.2765330687425,141.88522095000002,,0.6800379931804345,0.10012046847170043,2082-11_Mid_Mar_2026.xlsx
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,MBL,Commercial Bank,Machhapuchchhre Bank Limited,212.9663064595026,,,,18.6863332372482,194.27997322225437,162.49266188268,155.98775784293,6.504904039750001,624.0142012200001,12346.552197369998,12346.552197369998,2448.4937808150003,11253.784575456668,0.0,26048.830553641666,12.086211563900001,3.276270877,6.556670558657137,5.253496,3908.614902100002,1189.3183994300005,577.3433412752549,1502.8685220399998,846.9075958299998,15.413636530000003,1484.465948172904,69.4631323,,0.7629970420395088,0.12231432749478181,2082-11_Mid_Mar_2026.xlsx
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,Kumari,Commercial Bank,Kumari Bank Limited,384.65829779276555,,,,37.5300193865767,347.1282784061888,299.50957032120726,286.99774309039725,12.511827230809997,2504.15895786,28337.439878649002,28337.439878649002,6803.666400135,22849.016744181237,0.0,57990.12302296524,26.22586134016,6.717827256632059,28.144202112708847,14.0,8489.999765699937,2232.6929081900016,1507.4514236789073,2513.598912400003,1132.9824289799994,0.0,3630.8000223135377,542.0182210000002,,0.778638006874787,0.15075749920311712,2082-11_Mid_Mar_2026.xlsx
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,Laxmi,Commercial Bank,Laxmi Sunrise Limited,398.33683415517015,,,,35.09386024834,363.2429739068301,309.5944449102104,296.90257135905046,12.691873551159999,2360.47435211,33962.09824354652,33962.09824354652,4340.363316960001,17387.443712630004,1500.0,57189.90527313652,26.78116345752,7.305277726870001,18.014686446984953,7.0,7049.525086674994,1221.8109889599996,4473.0925536820805,2693.581213810002,1679.4211753900097,132.08677519999998,650.4935607027264,616.9732953500003,,0.777217717178546,0.1435717221442255,2082-11_Mid_Mar_2026.xlsx
